S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
270,8/4/2010,23 SHa`baan 1431 A.H,Working Day,,AROUND 4:30 PM,Peshawar,34.0043,71.5448,KPK,FC chowk near Dean's trade center,Security Forces,High,Open,,Military,,3,4,11,14,1,,28.59,83.46,10
271,8/23/2010,13 RamaDHaan 1431 A.H.,Working Day,,,South Waziristan,32.3202,69.8597,FATA,Wana-mosque,Religious,Medium,Closed,Pro-Government cleric,Anti-Militants,Sunni,26,30,,40,1,,25.23,77.41,20
272,9/1/2010,23 RamaDHaan 1431 A.H,Working Day,,6:55 PM,Lahore,31.5451,74.3407,Punjab,1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk,Park/Ground,Low,Open,Yaum-e-Ali,Religious,Shia,27,43,150,243,3,1)Mayo Hospital 2)Sir ganga Ram Hospital,31.97,89.55,
273,9/3/2010,24 RamaDHaan 1431 A.H.,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Mizan chowk Quetta,Park/Ground,Low,Open,Al-Quds Rally organized by Imamia stdents organization,Civilian,,54,62,150,200,1,1.Combined Miltry Hospital 2.Civil Hospital,26.74,80.14,15
274,9/3/2010,24 RamaDHaan 1431 A.H.,Working Day,,,Mardan,34.1982,72.0444,KPK,worship place of the Ahmedis in Muslimabad area,Religious,Medium,Closed,,Religious,,,1,,4,1,,27.88,82.18,
275,9/6/2010,27 RamaDHaan 1431 A.H,Holiday,Defence Day,7:05 AM,Lakki Marwat,32.6018,70.9148,KPK,lakki marwat Police Station,Police,High,Closed,,Police,,15,19,34,57,1,1.Civil Hospital 2.DHQ Hospital,26.64,79.94,600
276,9/9/2010,30 RamaDHaan 1431 A.H,Working Day,,12:30 PM,Quetta,30.2095,67.0182,Balochistan,"Raily Housing Society
Near Finance Minnister
House Quetta",Residence,Medium,Open,,Government Official,,2,5,3,6,1,,25.8,78.44,15
277,10/7/2010,28 SHawwal 1431 A.H,Working Day,,6:45 PM,Karachi,24.9918,66.9911,Sindh,Shrine of Abdullah shah ghazi in Clifton,Religious,Medium,Closed,Attendess at shrine,Religious,Sunni,6,10,60,77,2,1. JPMC; 2. Civil Hospital KHI,30.45,86.81,6
278,10/18/2010,10 Thw al-Qi`dah 1431 A.H,Working Day,,,Lakki Marwat,32.6018,70.9148,KPK,jabukhel village,Park/Ground,Low,Open,police tried to stop the car but the driver exploded the car in residential area,Civilian,,,,5,14,1,,20.78,69.41,1200
279,11/1/2010,24 Thw al-Qi`dah 1431 A.H,Working Day,,8:45 AM,Swabi,34.1335,72.4702,KPK,District Shahmanoor Police Lines Swabi,Police,High,Open,,Police,,2,5,10,13,1,1.Judicial Complex,18.87,65.97,12
280,11/5/2010,28 Thw al-Qi`dah 1431 A.H,Working Day,,1:30 PM,Dara Adam Khel,33.6854,71.5131,KPK,Dara Adam Khel Corwded Mosque,Religious,Medium,Closed,,Religious,Sunni,61,76,70,132,1,1.District Headqurters Hospital 2.Lady reading hospital,20.1,68.18,15
